timestamp,price,open,high,low,volume,Change %
04/18/2023,30392,29434,30471,29169,1.93K,3.25%
04/17/2023,29434,30285,30289,29277,2.04K,-2.81%
04/16/2023,30285,30280,30559,30123,1.84K,0.02%
04/15/2023,30280,30462,30575,30195,0.80K,-0.60%
04/14/2023,30462,30389,30968,30001,2.59K,0.24%
04/13/2023,30389,29876,30563,29867,1.43K,1.72%
04/12/2023,29876,30190,30450,29683,1.69K,-1.04%
04/11/2023,30190,29614,30484,29579,2.75K,1.95%
04/10/2023,29614,28320,29724,28159,2.24K,4.57%
04/09/2023,28320,27901,28510,27780,0.68K,1.50%
04/08/2023,27901,27889,28135,27839,0.40K,0.04%
04/07/2023,27889,28018,28082,27755,0.33K,-0.46%
04/06/2023,28018,28153,28163,27728,0.88K,-0.48%
04/05/2023,28153,28153,28750,27837,1.52K,0.00%
04/04/2023,28153,27790,28445,27671,1.08K,1.31%
04/03/2023,27790,28173,28482,27231,2.64K,-1.36%
04/02/2023,28173,28443,28515,27867,1.00K,-0.95%
04/01/2023,28443,28460,28809,28210,0.86K,-0.06%
03/31/2023,28460,28017,28651,27556,1.32K,1.58%
03/30/2023,28017,28344,29170,27692,2.68K,-1.15%
03/29/2023,28344,27265,28645,27253,2.12K,3.96%
03/28/2023,27265,27129,27512,26637,1.44K,0.50%
03/27/2023,27129,27986,28027,26542,1.94K,-3.06%
03/26/2023,27986,27482,28171,27438,1.17K,1.83%
03/25/2023,27482,27458,27779,27173,0.86K,0.09%
03/24/2023,27458,28304,28372,27017,1.92K,-2.99%
03/23/2023,28304,27263,28741,27121,3.12K,3.82%
03/22/2023,27263,28112,28813,26620,3.93K,-3.02%
03/21/2023,28112,27712,28435,27313,1.66K,1.44%
03/20/2023,27712,27936,28438,27130,2.70K,-0.80%
03/19/2023,27936,26913,28329,26838,4.34K,3.80%
03/18/2023,26913,27350,27605,26595,3.08K,-1.60%
03/17/2023,27350,25057,27562,24954,9.82K,9.15%
03/16/2023,25057,24321,25213,24202,2.42K,3.03%
03/15/2023,24321,24744,25245,23939,2.63K,-1.71%
03/14/2023,24744,24187,26434,24073,9.61K,2.30%
03/13/2023,24187,22079,24560,21891,7.01K,9.55%
03/12/2023,22079,20538,22132,20363,5.61K,7.50%
03/11/2023,20538,20201,20783,19874,6.80K,1.67%
03/10/2023,20201,20378,20381,19592,4.64K,-0.87%
03/09/2023,20378,21712,21835,20096,3.79K,-6.14%
03/08/2023,21712,22209,22286,21622,1.75K,-2.24%
03/07/2023,22209,22404,22552,21967,1.84K,-0.87%
03/06/2023,22404,22431,22586,22315,0.89K,-0.12%
03/05/2023,22431,22346,22650,22225,0.43K,0.38%
03/04/2023,22346,22363,22405,22176,0.41K,-0.08%
03/03/2023,22363,23472,23482,22003,2.99K,-4.72%
03/02/2023,23472,23646,23792,23208,0.70K,-0.74%
03/01/2023,23646,23134,23979,23037,1.37K,2.21%
02/28/2023,23134,23504,23609,23067,1.44K,-1.57%
02/27/2023,23504,23560,23891,23167,1.84K,-0.24%
02/26/2023,23560,23177,23669,23083,0.77K,1.65%
02/25/2023,23177,23201,23222,22810,1.12K,-0.10%
02/24/2023,23201,23947,24150,22911,3.45K,-3.12%
02/23/2023,23947,24186,24598,23625,2.24K,-0.99%
02/22/2023,24186,24460,24485,23586,3.34K,-1.12%
02/21/2023,24460,24831,25162,24177,3.55K,-1.49%
02/20/2023,24831,24294,25114,23867,2.02K,2.21%
02/19/2023,24294,24633,25200,24246,2.72K,-1.38%
02/18/2023,24633,24579,24853,24450,0.63K,0.22%
02/17/2023,24579,23535,25018,23362,4.17K,4.44%
02/16/2023,23535,24318,25232,23527,4.64K,-3.22%
02/15/2023,24318,22198,24350,22082,2.37K,9.55%
02/14/2023,22198,21773,22311,21578,1.44K,1.95%
02/13/2023,21773,21796,21902,21404,3.08K,-0.11%
02/12/2023,21796,21866,22095,21667,1.26K,-0.32%
02/11/2023,21866,21643,21903,21614,0.36K,1.03%
02/10/2023,21643,21800,21937,21500,1.47K,-0.72%
02/09/2023,21800,22959,23002,21710,3.31K,-5.05%
02/08/2023,22959,23251,23430,22691,1.35K,-1.26%
02/07/2023,23251,22755,23350,22744,1.20K,2.18%
02/06/2023,22755,22936,23145,22639,1.08K,-0.79%
02/05/2023,22936,23315,23419,22799,1.44K,-1.63%
02/04/2023,23315,23433,23580,23253,0.58K,-0.50%
02/03/2023,23433,23485,23700,23230,1.92K,-0.22%
02/02/2023,23485,23723,24239,23395,2.83K,-1.00%
02/01/2023,23723,23135,23802,22800,2.13K,2.54%
01/31/2023,23135,22837,23286,22730,1.99K,1.30%
01/30/2023,22837,23746,23784,22516,2.95K,-3.83%
01/29/2023,23746,23029,23962,23000,4.24K,3.11%
01/28/2023,23029,23067,23181,22885,1.41K,-0.16%
01/27/2023,23067,23004,23475,22539,2.25K,0.27%
01/26/2023,23004,23045,23273,22859,1.40K,-0.18%
01/25/2023,23045,22627,23812,22334,3.74K,1.85%
01/24/2023,22627,22910,23154,22479,1.88K,-1.24%
01/23/2023,22910,22713,23169,22520,1.86K,0.87%
01/22/2023,22713,22766,23071,22321,1.52K,-0.23%
01/21/2023,22766,22672,23312,22443,3.60K,0.41%
01/20/2023,22672,21080,22742,20879,2.88K,7.55%
01/19/2023,21080,20678,21181,20670,0.90K,1.94%
